Address,Price,City,State,Lat,Long,Google Address,Google Street Number,Google Route,Google Neighorhood,Google Political,Google Adminstrative Level 2,Google Adminstrative Level 1,Country,Postal Code,,
 Address Not Disclosed,"$549,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Address Undisclosed #15-G,"$1,249,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Amundson Ave Fr,"$469,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Amundson Ave Gtt,"$469,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Amundson Ave Sde,"$469,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Barnes Ave,"$579,000 ",Bronx,NY,40.876865,-73.861629,"3441-3499 Barnes Ave, Bronx, NY 10467, USA",3441-3499,Barnes Avenue,East Bronx,Bronx,Bronx County,New York,United States,10467,,
 Barnes Ave Gbn,"$579,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Bathgate Ave Bgg,"$699,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Bathgate Ave Tyh,"$699,000 ",Bronx,NY,40.84937,-73.895754,"2019 Carmen B. Bermudez Pl, Bronx, NY 10457, USA",2019,Carmen B. Bermudez Place,West Bronx,Bronx,Bronx County,New York,United States,10457,4406,
 Beck St Gtt,"$849,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Beck St Gty,"$849,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Bolton Ave,"$3,900,000 ",Bronx,NY,40.815522,-73.857796,"1900 Lacombe Ave, Bronx, NY 10473, USA",1900,Lacombe Avenue,East Bronx,Bronx,Bronx County,New York,United States,10473,2908,
 Bouck Ave,"$429,000 ",Bronx,NY,40.866228,-73.850054,"2701-2899 Bouck Ave, Bronx, NY 10469, USA",2701-2899,Bouck Avenue,East Bronx,Bronx,Bronx County,New York,United States,10469,,
 Bouck Ave Tyy,"$429,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Brick 1 Fam 3 Bdrm Duplx W 2,"$405,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Briggs Ave,"$499,000 ",Bronx,NY,40.868363,-73.889814,"2800 Briggs Ave, Bronx, NY 10458, USA",2800,Briggs Avenue,West Bronx,Bronx,Bronx County,New York,United States,10458,,
 Briggs Ave Edd,"$479,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Briggs Ave Nhh,"$479,000 ",Bronx,NY,40.868363,-73.889814,"2800 Briggs Ave, Bronx, NY 10458, USA",2800,Briggs Avenue,West Bronx,Bronx,Bronx County,New York,United States,10458,,
 Briggs Ave Rtt,"$479,000 ",Bronx,NY,40.868363,-73.889814,"2800 Briggs Ave, Bronx, NY 10458, USA",2800,Briggs Avenue,West Bronx,Bronx,Bronx County,New York,United States,10458,,
 Bronx,"$1,999,000 ",Bronx,NY,40.844782,-73.864827,"1724 Hunt Ave, Bronx, NY 10462, USA",1724,Hunt Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
 Bronxwood Ave Gtt,"$649,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Bronxwood Ave Rte,"$649,000 ",Bronx,NY,40.876858,-73.859774,"836-898 Mattie Harris Pl, Bronx, NY 10467, USA",836-898,Mattie Harris Place,East Bronx,Bronx,Bronx County,New York,United States,10467,,
 Buchanan Pl,"$625,000 ",Bronx,NY,40.85835,-73.906113,"48 Buchanan Pl, Bronx, NY 10453, USA",48,Buchanan Place,West Bronx,Bronx,Bronx County,New York,United States,10453,1617,
 Burke Ave Gtt,"$649,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Burke Ave Hyu,"$649,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Calle 7 Casa 5 Lucena Dominican Republic,"$135,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Carpenter Ave Gy,"$479,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Carpenter Ave Hyy,"$479,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
