"","RPT_DT","OFNS_DESC","LAW_CAT_CD","BORO_NM","ADDR_PCT_CD","Latitude","Longitude","Lat_Lon","id","address","street_number","route","neighborhood","political","administrative_area_level_2","administrative_area_level_1","country","postal_code","postal_code_suffix","locality","X[[i]]"
"5816","01/26/2015","HARRASSMENT 2","VIOLATION","BRONX",48,40.846518596,-73.890203295,"(40.846518596, -73.890203295)",1,"1987-1989 Crotona Ave, Bronx, NY 10457, USA","1987-1989","Crotona Avenue","West Bronx","Bronx","Bronx County","New York","United States","10457",NA,NA,NA
"22787","04/06/2015","OFF. AGNST PUB ORD SENSBLTY &","MISDEMEANOR","BRONX",40,40.810398494,-73.924895311,"(40.810398494, -73.924895311)",2,"262-268 Alexander Ave, Bronx, NY 10454, USA","262-268","Alexander Avenue","West Bronx","Bronx","Bronx County","New York","United States","10454",NA,NA,NA
"77497","10/08/2015","HARRASSMENT 2","VIOLATION","BRONX",49,40.849878916,-73.858212306,"(40.849878916, -73.858212306)",3,"975 Rhinelander Ave, Bronx, NY 10462, USA","975","Rhinelander Avenue","East Bronx","Bronx","Bronx County","New York","United States","10462","3401",NA,NA
"75995","09/30/2015","PETIT LARCENY","MISDEMEANOR","BRONX",45,40.868467378,-73.821582846,"(40.868467378, -73.821582846)",4,"2270 Bartow Ave, Bronx, NY 10475, USA","2270","Bartow Avenue","East Bronx","Bronx","Bronx County","New York","United States","10475","4618",NA,NA
"11632","02/21/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",44,40.824304526,-73.922675571,"(40.824304526, -73.922675571)",5,"750-772 Concourse Village W, Bronx, NY 10451, USA","750-772","Concourse Village West","Fleetwood - Concourse Village","Bronx","Bronx County","New York","United States","10451",NA,NA,NA
"9082","02/10/2015","MISCELLANEOUS PENAL LAW","FELONY","BRONX",43,40.831494004,-73.862056588,"(40.831494004, -73.862056588)",6,"1236-1238 White Plains Rd, Bronx, NY 10472, USA","1236-1238","White Plains Road","East Bronx","Bronx","Bronx County","New York","United States","10472","4904",NA,NA
"76180","10/02/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",44,40.827421047,-73.912901422,"(40.827421047, -73.912901422)",7,"3339 Park Ave, Bronx, NY 10456, USA","3339","Park Avenue","West Bronx","Bronx","Bronx County","New York","United States","10456","6129",NA,NA
"88839","11/14/2015","PETIT LARCENY","MISDEMEANOR","BRONX",47,40.876320141,-73.848598777,"(40.876320141, -73.848598777)",8,"3449 Boston Rd, Bronx, NY 10469, USA","3449","Boston Road","East Bronx","Bronx","Bronx County","New York","United States","10469","2508",NA,NA
"25494","04/16/2015","PETIT LARCENY","MISDEMEANOR","BRONX",52,40.862847154,-73.899583312,"(40.862847154, -73.899583312)",9,"2470-2486 Morris Ave, Bronx, NY 10468, USA","2470-2486","Morris Avenue","West Bronx","Bronx","Bronx County","New York","United States","10468","5453",NA,NA
"14788","03/06/2015","HARRASSMENT 2","VIOLATION","BRONX",44,40.839103664,-73.922137955,"(40.839103664, -73.922137955)",10,"61 W 169th St, Bronx, NY 10452, USA","61","West 169th Street","West Bronx","Bronx","Bronx County","New York","United States","10452",NA,NA,NA
"31630","05/09/2015","HARRASSMENT 2","VIOLATION","BRONX",41,40.822126997,-73.896880756,"(40.822126997, -73.896880756)",11,"970 Intervale Ave, Bronx, NY 10459, USA","970","Intervale Avenue","West Bronx","Bronx","Bronx County","New York","United States","10459",NA,NA,NA
"88460","11/14/2015","OFFENSES RELATED TO CHILDREN","MISDEMEANOR","BRONX",44,40.843496411,-73.90539891,"(40.843496411, -73.90539891)",12,"343 E 173rd St, Bronx, NY 10457, USA","343","East 173rd Street","West Bronx","Bronx","Bronx County","New York","United States","10457",NA,NA,NA
"33337","05/13/2015","ROBBERY","FELONY","BRONX",46,40.85708308,-73.905856762,"(40.85708308, -73.905856762)",13,"2179-2199 Davidson Ave, Bronx, NY 10453, USA","2179-2199","Davidson Avenue","West Bronx","Bronx","Bronx County","New York","United States","10453",NA,NA,NA
"29573","12/03/2015","GRAND LARCENY","FELONY","BRONX",49,40.864331297,-73.866377534,"(40.864331297, -73.866377534)",14,"2535-2537 Cruger Ave, Bronx, NY 10467, USA","2535-2537","Cruger Avenue","East Bronx","Bronx","Bronx County","New York","United States","10467",NA,NA,NA
"78478","10/09/2015","HARRASSMENT 2","VIOLATION","BRONX",47,40.896637757,-73.87249064,"(40.896637757, -73.87249064)",15,"4207 Oneida Ave, Bronx, NY 10470, USA","4207","Oneida Avenue","East Bronx","Bronx","Bronx County","New York","United States","10470","2134",NA,NA
"28399","04/26/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","BRONX",42,40.836652522,-73.907146909,"(40.836652522, -73.907146909)",16,"1400 Webster Ave, Bronx, NY 10456, USA","1400","Webster Avenue","West Bronx","Bronx","Bronx County","New York","United States","10456","1807",NA,NA
"18226","03/19/2015","HARRASSMENT 2","VIOLATION","BRONX",47,40.881705694,-73.862107912,"(40.881705694, -73.862107912)",17,"733 E 217th St, Bronx, NY 10467, USA","733","East 217th Street","East Bronx","Bronx","Bronx County","New York","United States","10467",NA,NA,NA
"52951","07/18/2015","PETIT LARCENY","MISDEMEANOR","BRONX",52,40.870602034,-73.883257526,"(40.870602034, -73.883257526)",18,"319 E 201st St, Bronx, NY 10458, USA","319","East 201st Street","West Bronx","Bronx","Bronx County","New York","United States","10458","1807",NA,NA
"85753","11/03/2015","DANGEROUS DRUGS","FELONY","BRONX",48,40.848743492,-73.891985195,"(40.848743492, -73.891985195)",19,"2089 Arthur Ave, Bronx, NY 10457, USA","2089","Arthur Avenue","West Bronx","Bronx","Bronx County","New York","United States","10457",NA,NA,NA
"53548","07/20/2015","BURGLARY","FELONY","BRONX",45,40.821176635,-73.818486818,"(40.821176635, -73.818486818)",20,"3929 E Tremont Ave, Bronx, NY 10465, USA","3929","East Tremont Avenue","East Bronx","Bronx","Bronx County","New York","United States","10465","2901",NA,NA
"12759","02/26/2015","FELONY ASSAULT","FELONY","BRONX",44,40.825734695,-73.918926948,"(40.825734695, -73.918926948)",21,"265-269 E 161st St, Bronx, NY 10451, USA","265-269","East 161st Street","Fleetwood - Concourse Village","Bronx","Bronx County","New York","United States","10451","3503",NA,NA
"15705","03/10/2015","FORGERY","FELONY","BRONX",47,40.884250452,-73.849278693,"(40.884250452, -73.849278693)",22,"1060 E 225th St, Bronx, NY 10466, USA","1060","East 225th Street","East Bronx","Bronx","Bronx County","New York","United States","10466","4804",NA,NA
"54392","07/23/2015","OFF. AGNST PUB ORD SENSBLTY &","MISDEMEANOR","BRONX",48,40.846020053,-73.88837886,"(40.846020053, -73.88837886)",23,"735-759 E 179th St, Bronx, NY 10457, USA","735-759","East 179th Street","West Bronx","Bronx","Bronx County","New York","United States","10457",NA,NA,NA
"99142","12/25/2015","OFF. AGNST PUB ORD SENSBLTY &","MISDEMEANOR","BRONX",49,40.850451164,-73.863889645,"(40.850451164, -73.863889645)",24,"802 Neill Ave, Bronx, NY 10462, USA","802","Neill Avenue","East Bronx","Bronx","Bronx County","New York","United States","10462","3016",NA,NA
"19766","04/13/2015","UNAUTHORIZED USE OF A VEHICLE","MISDEMEANOR","BRONX",40,40.815736596,-73.928614009,"(40.815736596, -73.928614009)",25,"349-367 Grand Concourse, Bronx, NY 10451, USA","349-367","Grand Concourse","West Bronx","Bronx","Bronx County","New York","United States","10451","5408",NA,NA
"87209","11/08/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",46,40.858850211,-73.90529754,"(40.858850211, -73.90529754)",26,"37 W 183rd St, Bronx, NY 10468, USA","37","West 183rd Street","West Bronx","Bronx","Bronx County","New York","United States","10468",NA,NA,NA
"17858","03/18/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",45,40.822663919,-73.821777915,"(40.822663919, -73.821777915)",27,"515-555 Calhoun Ave, Bronx, NY 10465, USA","515-555","Calhoun Avenue","East Bronx","Bronx","Bronx County","New York","United States","10465",NA,NA,NA
"46721","06/29/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",41,40.814847198,-73.89908132,"(40.814847198, -73.89908132)",28,"725 Fox St, Bronx, NY 10455, USA","725","Fox Street","Woodstock","Bronx","Bronx County","New York","United States","10455",NA,NA,NA
"92045","11/26/2015","PETIT LARCENY","MISDEMEANOR","BRONX",44,40.839739531,-73.913178032,"(40.839739531, -73.913178032)",29,"1426 Grand Concourse, Bronx, NY 10456, USA","1426","Grand Concourse","West Bronx","Bronx","Bronx County","New York","United States","10456",NA,NA,NA
"19985","03/26/2015","HARRASSMENT 2","VIOLATION","BRONX",43,40.827014458,-73.881668248,"(40.827014458, -73.881668248)",30,"1140 Colgate Ave, Bronx, NY 10472, USA","1140","Colgate Avenue","East Bronx","Bronx","Bronx County","New York","United States","10472",NA,NA,NA
"768","01/05/2015","PETIT LARCENY","MISDEMEANOR","BRONX",44,40.844802769,-73.915867694,"(40.844802769, -73.915867694)",31,"50 W Mount Eden Ave, Bronx, NY 10452, USA","50","West Mount Eden Avenue","West Bronx","Bronx","Bronx County","New York","United States","10452","2004",NA,NA
"45412","06/23/2015","BURGLARY","FELONY","BRONX",44,40.826023516,-73.919822692,"(40.826023516, -73.919822692)",32,"265 E 161st St, Bronx, NY 10456, USA","265","East 161st Street","Fleetwood - Concourse Village","Bronx","Bronx County","New York","United States","10456",NA,NA,NA
