"","RPT_DT","OFNS_DESC","LAW_CAT_CD","BORO_NM","ADDR_PCT_CD","Latitude","Longitude","Lat_Lon","id","address","street_number","route","neighborhood","political","administrative_area_level_2","administrative_area_level_1","country","postal_code","postal_code_suffix","locality"
"89579","11/17/2015","PETIT LARCENY","MISDEMEANOR","BRONX",44,40.837778868,-73.919450746,"(40.837778868, -73.919450746)",4801,"2 E 169th St, Bronx, NY 10452, USA","2","East 169th Street","West Bronx","Bronx","Bronx County","New York","United States","10452","7800",NA
"40494","06/08/2015","PETIT LARCENY","MISDEMEANOR","BRONX",43,40.840048531,-73.866079358,"(40.840048531, -73.866079358)",4802,"1580 Thieriot Ave, Bronx, NY 10460, USA","1580","Thieriot Avenue","East Bronx","Bronx","Bronx County","New York","United States","10460",NA,NA
"99688","12/26/2015","HARRASSMENT 2","VIOLATION","BRONX",46,40.859383902,-73.897104968,"(40.859383902, -73.897104968)",4803,"2385-2395 Valentine Ave, Bronx, NY 10458, USA","2385-2395","Valentine Avenue","West Bronx","Bronx","Bronx County","New York","United States","10458",NA,NA
"55554","07/29/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",44,40.835420997,-73.915388081,"(40.835420997, -73.915388081)",4804,"1239 Sheridan Ave, Bronx, NY 10456, USA","1239","Sheridan Avenue","West Bronx","Bronx","Bronx County","New York","United States","10456",NA,NA
"84867","11/01/2015","BURGLARY","FELONY","BRONX",46,40.854350053,-73.903380861,"(40.854350053, -73.903380861)",4805,"2095-2101 Creston Ave, Bronx, NY 10453, USA","2095-2101","Creston Avenue","West Bronx","Bronx","Bronx County","New York","United States","10453",NA,NA
"73177","10/08/2015","GRAND LARCENY","FELONY","BRONX",45,40.841373618,-73.835866244,"(40.841373618, -73.835866244)",4806,"2833 Wellman Ave, Bronx, NY 10461, USA","2833","Wellman Avenue","East Bronx","Bronx","Bronx County","New York","United States","10461","5424",NA
"49394","07/08/2015","BURGLARY","FELONY","BRONX",42,40.839642483,-73.904967094,"(40.839642483, -73.904967094)",4807,"404 Claremont Pkwy, Bronx, NY 10457, USA","404","Claremont Parkway","West Bronx","Bronx","Bronx County","New York","United States","10457",NA,NA
"67675","09/04/2015","GRAND LARCENY OF MOTOR VEHICLE","FELONY","BRONX",45,40.826395857,-73.826598916,"(40.826395857, -73.826598916)",4808,"2811 Philip Ave, Bronx, NY 10465, USA","2811","Philip Avenue","East Bronx","Bronx","Bronx County","New York","United States","10465","2212",NA
"51078","07/12/2015","GRAND LARCENY","FELONY","BRONX",45,40.880708975,-73.830858255,"(40.880708975, -73.830858255)",4809,"1010 Baychester Ave, Bronx, NY 10475, USA","1010","Baychester Avenue","East Bronx","Bronx","Bronx County","New York","United States","10475","4567",NA
"41761","06/11/2015","PETIT LARCENY","MISDEMEANOR","BRONX",47,40.892407663,-73.857929899,"(40.892407663, -73.857929899)",4810,"4151-4155 Police Officer Walter E. Weaver Way, Bronx, NY 10466, USA","4151-4155","Police Officer Walter E. Weaver Way","East Bronx","Bronx","Bronx County","New York","United States","10466","3021",NA
"19919","03/26/2015","DANGEROUS WEAPONS","MISDEMEANOR","BRONX",47,40.891731342,-73.842266723,"(40.891731342, -73.842266723)",4811,"4043 De Reimer Ave, Bronx, NY 10466, USA","4043","De Reimer Avenue","East Bronx","Bronx","Bronx County","New York","United States","10466","2320",NA
"13655","03/01/2015","HARRASSMENT 2","VIOLATION","BRONX",52,40.872010543,-73.889315108,"(40.872010543, -73.889315108)",4812,"12 E 199th St, Bronx, NY 10468, USA","12","East 199th Street","West Bronx","Bronx","Bronx County","New York","United States","10468",NA,NA
"37971","05/29/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",50,40.88311992,-73.903320969,"(40.88311992, -73.903320969)",4813,"3440 Kingsbridge Ave, Bronx, NY 10463, USA","3440","Kingsbridge Avenue","West Bronx","Bronx","Bronx County","New York","United States","10463",NA,NA
"64695","08/24/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",49,40.869312194,-73.865745636,"(40.869312194, -73.865745636)",4814,"3067 Williamsbridge Rd, Bronx, NY 10467, USA","3067","Williamsbridge Road","East Bronx","Bronx","Bronx County","New York","United States","10467","8301",NA
"51844","07/15/2015","FELONY ASSAULT","FELONY","BRONX",40,40.815079394,-73.918502792,"(40.815079394, -73.918502792)",4815,"Willis Ave, Bronx, NY 10455, USA",NA,"Willis Avenue","West Bronx","Bronx","Bronx County","New York","United States","10455",NA,NA
"61633","08/16/2015","OFF. AGNST PUB ORD SENSBLTY &","MISDEMEANOR","BRONX",44,40.836689799,-73.928671032,"(40.836689799, -73.928671032)",4816,"1118-1158 University Ave, Bronx, NY 10452, USA","1118-1158","University Avenue","West Bronx","Bronx","Bronx County","New York","United States","10452",NA,NA
"66015","09/01/2015","GRAND LARCENY","FELONY","BRONX",48,40.850649968,-73.882443107,"(40.850649968, -73.882443107)",4817,"2299 Southern Blvd, Bronx, NY 10460, USA","2299","Southern Boulevard","West Bronx","Bronx","Bronx County","New York","United States","10460",NA,NA
"59594","08/08/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",40,40.81752121,-73.917119704,"(40.81752121, -73.917119704)",4818,"614 Melrose Ave, Bronx, NY 10455, USA","614","Melrose Avenue","West Bronx","Bronx","Bronx County","New York","United States","10455","2627",NA
"58956","08/06/2015","MISCELLANEOUS PENAL LAW","FELONY","BRONX",41,40.826265582,-73.890439057,"(40.826265582, -73.890439057)",4819,"1117 W Farms Rd, Bronx, NY 10459, USA","1117","West Farms Road","West Bronx","Bronx","Bronx County","New York","United States","10459",NA,NA
"74483","09/26/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",45,40.868901553,-73.831040143,"(40.868901553, -73.831040143)",4820,"2000 Bartow Ave, Bronx, NY 10475, USA","2000","Bartow Avenue","East Bronx","Bronx","Bronx County","New York","United States","10475",NA,NA
"43960","06/18/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",48,40.854038558,-73.884045707,"(40.854038558, -73.884045707)",4821,"709E E 187th St, Bronx, NY 10458, USA","709E","East 187th Street","West Bronx","Bronx","Bronx County","New York","United States","10458",NA,NA
"76258","10/01/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",41,40.81667044,-73.887998165,"(40.81667044, -73.887998165)",4822,"798 Hunts Point Ave, Bronx, NY 10474, USA","798","Hunts Point Avenue","West Bronx","Bronx","Bronx County","New York","United States","10474",NA,NA
"55941","07/28/2015","PETIT LARCENY","MISDEMEANOR","BRONX",46,40.848441979,-73.911829306,"(40.848441979, -73.911829306)",4823,"1769 Jerome Ave, Bronx, NY 10453, USA","1769","Jerome Avenue","West Bronx","Bronx","Bronx County","New York","United States","10453","5711",NA
"56488","07/30/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",41,40.810726647,-73.8893231,"(40.810726647, -73.8893231)",4824,"520-540 Casanova St, Bronx, NY 10474, USA","520-540","Casanova Street","West Bronx","Bronx","Bronx County","New York","United States","10474","6712",NA
"47578","07/02/2015","PETIT LARCENY","MISDEMEANOR","BRONX",44,40.837185665,-73.907980975,"(40.837185665, -73.907980975)",4825,"1387-1399 Andrew Robinson Pl, Bronx, NY 10456, USA","1387-1399","Andrew Robinson Place","West Bronx","Bronx","Bronx County","New York","United States","10456",NA,NA
"8190","02/06/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",49,40.855571684,-73.867660345,"(40.855571684, -73.867660345)",4826,"2170-2176 White Plains Rd, Bronx, NY 10462, USA","2170-2176","White Plains Road","East Bronx","Bronx","Bronx County","New York","United States","10462",NA,NA
"86984","11/07/2015","GRAND LARCENY","FELONY","BRONX",47,40.869189484,-73.842497358,"(40.869189484, -73.842497358)",4827,"2950 Eastchester Rd, Bronx, NY 10469, USA","2950","Eastchester Road","East Bronx","Bronx","Bronx County","New York","United States","10469",NA,NA
"16225","03/12/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",44,40.819852083,-73.930495553,"(40.819852083, -73.930495553)",4828,"701-707 Exterior Street, Bronx, NY 10451, USA","701-707","Exterior Street","West Bronx","Bronx","Bronx County","New York","United States","10451",NA,NA
"2420","01/13/2015","PETIT LARCENY","MISDEMEANOR","BRONX",44,40.844839006,-73.916633881,"(40.844839006, -73.916633881)",4829,"50 W Mount Eden Ave, Bronx, NY 10452, USA","50","West Mount Eden Avenue","West Bronx","Bronx","Bronx County","New York","United States","10452","2004",NA
"14748","03/06/2015","HARRASSMENT 2","VIOLATION","BRONX",46,40.848447832,-73.923905353,"(40.848447832, -73.923905353)",4830,"1600 Sedgwick Ave, Bronx, NY 10453, USA","1600","Sedgwick Avenue","West Bronx","Bronx","Bronx County","New York","United States","10453",NA,NA
"33032","07/23/2015","GRAND LARCENY","FELONY","BRONX",47,40.890468818,-73.850541321,"(40.890468818, -73.850541321)",4831,"943 E 232nd St, Bronx, NY 10466, USA","943","East 232nd Street","East Bronx","Bronx","Bronx County","New York","United States","10466","4652",NA
"18912","03/22/2015","HARRASSMENT 2","VIOLATION","BRONX",42,40.837635873,-73.889325316,"(40.837635873, -73.889325316)",4832,"1700 Crotona Park E, Bronx, NY 10460, USA","1700","Crotona Park East","West Bronx","Bronx","Bronx County","New York","United States","10460",NA,NA
"43559","06/17/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",44,40.830944881,-73.912398139,"(40.830944881, -73.912398139)",4833,"1139 Teller Ave, Bronx, NY 10456, USA","1139","Teller Avenue","West Bronx","Bronx","Bronx County","New York","United States","10456",NA,NA
"30802","05/05/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",43,40.827888685,-73.875191502,"(40.827888685, -73.875191502)",4834,"1144 Stratford Ave, Bronx, NY 10472, USA","1144","Stratford Avenue","East Bronx","Bronx","Bronx County","New York","United States","10472",NA,NA
"83487","10/26/2015","FELONY ASSAULT","FELONY","BRONX",47,40.882214587,-73.858501363,"(40.882214587, -73.858501363)",4835,"839 E 219th St, Bronx, NY 10467, USA","839","East 219th Street","East Bronx","Bronx","Bronx County","New York","United States","10467","5307",NA
"54840","07/28/2015","GRAND LARCENY","FELONY","BRONX",44,40.840060898,-73.917232572,"(40.840060898, -73.917232572)",4836,"18-22 E 170th St, Bronx, NY 10452, USA","18-22","East 170th Street","West Bronx","Bronx","Bronx County","New York","United States","10452",NA,NA
"54434","07/23/2015","VEHICLE AND TRAFFIC LAWS","MISDEMEANOR","BRONX",50,40.908137634,-73.900006894,"(40.908137634, -73.900006894)",4837,"6001 Fieldston Rd, Bronx, NY 10471, USA","6001","Fieldston Road","West Bronx","Bronx","Bronx County","New York","United States","10471","1803",NA
"58713","08/07/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",42,40.835236181,-73.900481452,"(40.835236181, -73.900481452)",4838,"580 Crotona Park S, Bronx, NY 10456, USA","580","Crotona Park South","West Bronx","Bronx","Bronx County","New York","United States","10456","2225",NA
"57091","08/03/2015","PETIT LARCENY","MISDEMEANOR","BRONX",40,40.822837337,-73.916571116,"(40.822837337, -73.916571116)",4839,"337-353 E 158th St, Bronx, NY 10451, USA","337-353","East 158th Street","West Bronx","Bronx","Bronx County","New York","United States","10451",NA,NA
"30841","05/05/2015","PETIT LARCENY","MISDEMEANOR","BRONX",52,40.873671035,-73.908013649,"(40.873671035, -73.908013649)",4840,"31-49 W 225th St, Bronx, NY 10463, USA","31-49","West 225th Street","West Bronx","Bronx","New York County","New York","United States","10463",NA,"New York"
"56096","08/06/2015","HARRASSMENT 2","VIOLATION","BRONX",45,40.86569531,-73.823419699,"(40.86569531, -73.823419699)",4841,"4160 Hutchinson River Pkwy E, Bronx, NY 10475, USA","4160","Hutchinson River Parkway East","East Bronx","Bronx","Bronx County","New York","United States","10475",NA,NA
"3412","01/16/2015","PETIT LARCENY","MISDEMEANOR","BRONX",41,40.815490537,-73.900315892,"(40.815490537, -73.900315892)",4842,"948-950 Leggett Ave, Bronx, NY 10455, USA","948-950","Leggett Avenue","West Bronx","Bronx","Bronx County","New York","United States","10455",NA,NA
"97461","12/16/2015","GRAND LARCENY","FELONY","BRONX",49,40.85549873,-73.868669043,"(40.85549873, -73.868669043)",4843,"2165-2185 Bolton St, Bronx, NY 10462, USA","2165-2185","Bolton Street","East Bronx","Bronx","Bronx County","New York","United States","10462",NA,NA
"13512","03/02/2015","PETIT LARCENY","MISDEMEANOR","BRONX",49,40.861275447,-73.863184219,"(40.861275447, -73.863184219)",4844,"811 Waring Ave, Bronx, NY 10467, USA","811","Waring Avenue","East Bronx","Bronx","Bronx County","New York","United States","10467","9217",NA
"59778","08/09/2015","CRIMINAL TRESPASS","MISDEMEANOR","BRONX",42,40.824877175,-73.903177956,"(40.824877175, -73.903177956)",4845,"735-753 Judge Hansel L. McGee Pl, Bronx, NY 10456, USA","735-753","Judge Hansel L. McGee Place","West Bronx","Bronx","Bronx County","New York","United States","10456",NA,NA
"100690","12/31/2015","GRAND LARCENY","FELONY","BRONX",44,40.825583407,-73.918461022,"(40.825583407, -73.918461022)",4846,"271 E 161st St, Bronx, NY 10451, USA","271","East 161st Street","Fleetwood - Concourse Village","Bronx","Bronx County","New York","United States","10451",NA,NA
"50082","07/09/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",52,40.880267606,-73.87678196,"(40.880267606, -73.87678196)",4847,"3500 Tryon Ave, Bronx, NY 10467, USA","3500","Tryon Avenue","West Bronx","Bronx","Bronx County","New York","United States","10467","1555",NA
"62106","08/16/2015","ROBBERY","FELONY","BRONX",48,40.852399561,-73.889217613,"(40.852399561, -73.889217613)",4848,"2225 Adams Pl, Bronx, NY 10457, USA","2225","Adams Place","West Bronx","Bronx","Bronx County","New York","United States","10457",NA,NA
"34772","05/18/2015","FRAUDS","MISDEMEANOR","BRONX",40,40.803222475,-73.918914635,"(40.803222475, -73.918914635)",4849,"584 Bruckner Blvd, Bronx, NY 10454, USA","584","Bruckner Boulevard","West Bronx","Bronx","Bronx County","New York","United States","10454",NA,NA
