"RPT_DT","OFNS_DESC","LAW_CAT_CD","BORO_NM","ADDR_PCT_CD","Latitude","Longitude","Lat_Lon","PCT_ZIP","Address","id","address","street_number","route","neighborhood","political","administrative_area_level_2","administrative_area_level_1","country","postal_code","postal_code_suffix","locality"
"05/09/2015","BURGLARY","FELONY","BRONX",40,40.815698577,-73.924932683,"(40.815698577, -73.924932683)","10454",NA,2401,"229 E 144th St, Bronx, NY 10451, USA","229","East 144th Street","West Bronx","Bronx","Bronx County","New York","United States","10451",NA,NA
"07/29/2015","HARRASSMENT 2","VIOLATION","BRONX",43,40.820979933,-73.849642388,"(40.820979933, -73.849642388)","10473",NA,2402,"2143-2175 Seward Ave, Bronx, NY 10473, USA","2143-2175","Seward Avenue","East Bronx","Bronx","Bronx County","New York","United States","10473",NA,NA
"05/13/2015","FORGERY","FELONY","BRONX",41,40.824219035,-73.88863222,"(40.824219035, -73.88863222)","10459",NA,2403,"1030 Bryant Ave, Bronx, NY 10459, USA","1030","Bryant Avenue","West Bronx","Bronx","Bronx County","New York","United States","10459",NA,NA
"07/23/2015","HARRASSMENT 2","VIOLATION","BRONX",45,40.836046091,-73.830155074,"(40.836046091, -73.830155074)","10465",NA,2404,"1242 Bradford Ave, Bronx, NY 10461, USA","1242","Bradford Avenue","East Bronx","Bronx","Bronx County","New York","United States","10461","6288",NA
"07/25/2015","DANGEROUS WEAPONS","MISDEMEANOR","BRONX",42,40.835494793,-73.907820691,"(40.835494793, -73.907820691)","10451",NA,2405,"1357 Webster Ave, Bronx, NY 10456, USA","1357","Webster Avenue","West Bronx","Bronx","Bronx County","New York","United States","10456","1839",NA
"01/17/2015","INTOXICATED & IMPAIRED DRIVING","MISDEMEANOR","BRONX",40,40.814189454,-73.906777246,"(40.814189454, -73.906777246)","10454",NA,2406,"605 Wales Ave, Bronx, NY 10455, USA","605","Wales Avenue","West Bronx","Bronx","Bronx County","New York","United States","10455","3255",NA
"02/16/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",46,40.854394482,-73.900752818,"(40.854394482, -73.900752818)","10457",NA,2407,"225-229 E 181st St, Bronx, NY 10457, USA","225-229","East 181st Street","West Bronx","Bronx","Bronx County","New York","United States","10457","2103",NA
"08/17/2015","PETIT LARCENY","MISDEMEANOR","BRONX",42,40.823046444,-73.909948,"(40.823046444, -73.909948)","10451",NA,2408,"505 E 161st St, Bronx, NY 10451, USA","505","East 161st Street","Morrisania","Bronx","Bronx County","New York","United States","10451",NA,NA
"11/29/2015","HARRASSMENT 2","VIOLATION","BRONX",52,40.863700447,-73.905724473,"(40.863700447, -73.905724473)","10467",NA,2409,"145 Father Zeiser Pl, Bronx, NY 10468, USA","145","Father Zeiser Place","West Bronx","Bronx","Bronx County","New York","United States","10468",NA,NA
"08/08/2015","OFF. AGNST PUB ORD SENSBLTY &","MISDEMEANOR","BRONX",42,40.828410168,-73.888578231,"(40.828410168, -73.888578231)","10451",NA,2410,"1181-1199 W Farms Rd, Bronx, NY 10459, USA","1181-1199","West Farms Road","West Bronx","Bronx","Bronx County","New York","United States","10459",NA,NA
