"RPT_DT","OFNS_DESC","LAW_CAT_CD","BORO_NM","ADDR_PCT_CD","Latitude","Longitude","Lat_Lon","id","address","street_number","route","neighborhood","political","administrative_area_level_2","administrative_area_level_1","country","postal_code","postal_code_suffix","locality","premise"
"04/26/2015","FELONY ASSAULT","FELONY","BROOKLYN",73,40.676080719,-73.905430888,"(40.676080719, -73.905430888)",1,"2401-2411 Atlantic Ave, Brooklyn, NY 11233, USA","2401-2411","Atlantic Avenue","Cypress Hills","Brooklyn","Kings County","New York","United States","11233","3406",NA,NA
"10/12/2015","PETIT LARCENY","MISDEMEANOR","MANHATTAN",14,40.756642042,-73.988371577,"(40.756642042, -73.988371577)",2,"229-233 W 42nd St, New York, NY 10036, USA","229-233","West 42nd Street","Midtown","Manhattan","New York County","New York","United States","10036",NA,"New York",NA
"06/07/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BROOKLYN",62,40.605748599,-74.006030119,"(40.605748599, -74.006030119)",3,"25-47 Rutherford Pl, Brooklyn, NY 11214, USA","25-47","Rutherford Place","Bath Beach","Brooklyn","Kings County","New York","United States","11214",NA,NA,NA
"11/15/2015","HARRASSMENT 2","VIOLATION","QUEENS",109,40.755539692,-73.815489341,"(40.755539692, -73.815489341)",4,"45-6 Parsons Blvd, Flushing, NY 11355, USA","45-6","Parsons Boulevard","Flushing","Queens","Queens County","New York","United States","11355",NA,NA,NA
"12/07/2015","CRIMINAL MISCHIEF & RELATED OF","FELONY","BROOKLYN",67,40.661456586,-73.928285308,"(40.661456586, -73.928285308)",5,"939 Rutland Rd, Brooklyn, NY 11212, USA","939","Rutland Road","East Flatbush","Brooklyn","Kings County","New York","United States","11212",NA,NA,NA
"01/20/2015","HARRASSMENT 2","VIOLATION","QUEENS",100,40.592478755,-73.799697347,"(40.592478755, -73.799697347)",6,"71-2 Beach Channel Dr, Arverne, NY 11692, USA","71-2","Beach Channel Drive","Arverne","Queens","Queens County","New York","United States","11692",NA,NA,NA
"07/18/2015","PETIT LARCENY","MISDEMEANOR","BROOKLYN",79,40.689085346,-73.955050763,"(40.689085346, -73.955050763)",7,"1048-1050 Bedford Ave, Brooklyn, NY 11205, USA","1048-1050","Bedford Avenue","Bedford-Stuyvesant","Brooklyn","Kings County","New York","United States","11205",NA,NA,NA
"11/18/2015","FORGERY","FELONY","BROOKLYN",70,40.649468516,-73.958482969,"(40.649468516, -73.958482969)",8,"918B Flatbush Ave, Brooklyn, NY 11226, USA","918B","Flatbush Avenue","Flatbush - Ditmas Park","Brooklyn","Kings County","New York","United States","11226",NA,NA,NA
"07/24/2015","BURGLARY","FELONY","BROOKLYN",77,40.670167427,-73.930993992,"(40.670167427, -73.930993992)",9,"245A Utica Ave, Brooklyn, NY 11213, USA","245A","Utica Avenue","Crown Heights","Brooklyn","Kings County","New York","United States","11213",NA,NA,NA
"06/23/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","MANHATTAN",28,40.800728997,-73.950637475,"(40.800728997, -73.950637475)",10,"100 W 114th St, New York, NY 10026, USA","100","West 114th Street","Upper Manhattan","Manhattan","New York County","New York","United States","10026",NA,"New York",NA
"12/13/2015","HARRASSMENT 2","VIOLATION","BROOKLYN",90,40.700909045,-73.94117579,"(40.700909045, -73.94117579)",11,"791 Flushing Ave, Brooklyn, NY 11206, USA","791","Flushing Avenue","Williamsburg","Brooklyn","Kings County","New York","United States","11206","4142",NA,NA
"06/23/2015","PETIT LARCENY","MISDEMEANOR","MANHATTAN",23,40.793026087,-73.942156178,"(40.793026087, -73.942156178)",12,"200-240 E 109th St, New York, NY 10029, USA","200-240","East 109th Street","Upper Manhattan","Manhattan","New York County","New York","United States","10029","3703","New York",NA
"10/12/2015","PETIT LARCENY","MISDEMEANOR","QUEENS",111,40.751447499,-73.788481852,"(40.751447499, -73.788481852)",13,"191-1-191-99 47th Ave, Flushing, NY 11358, USA","191-1-191-99","47th Avenue","Flushing","Queens","Queens County","New York","United States","11358",NA,NA,NA
"07/31/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",44,40.827421047,-73.912901422,"(40.827421047, -73.912901422)",14,"3339 Park Ave, Bronx, NY 10456, USA","3339","Park Avenue","West Bronx","Bronx","Bronx County","New York","United States","10456","6129",NA,NA
"02/15/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","QUEENS",104,40.728152629,-73.893890839,"(40.728152629, -73.893890839)",15,"54-31-54-35 69th Ln, Maspeth, NY 11378, USA","54-31-54-35","69th Lane","Maspeth","Queens","Queens County","New York","United States","11378","1816",NA,NA
"11/21/2015","PETIT LARCENY","MISDEMEANOR","QUEENS",114,40.76606917,-73.922068104,"(40.76606917, -73.922068104)",16,"30-30 31st St, Astoria, NY 11102, USA","30-30","31st Street","Astoria","Queens","Queens County","New York","United States","11102",NA,NA,NA
"05/30/2015","GRAND LARCENY","FELONY","BROOKLYN",75,40.668262913,-73.859160716,"(40.668262913, -73.859160716)",17,"1407-1425 Loring Ave, Brooklyn, NY 11208, USA","1407-1425","Loring Avenue","East New York","Brooklyn","Kings County","New York","United States","11208",NA,NA,NA
"01/18/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BROOKLYN",83,40.702606896,-73.925013139,"(40.702606896, -73.925013139)",18,"241-269 Knickerbocker Ave, Brooklyn, NY 11237, USA","241-269","Knickerbocker Avenue","Bushwick","Brooklyn","Kings County","New York","United States","11237",NA,NA,NA
"05/10/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","BRONX",41,40.791151867,-73.884371919,"(40.791151867, -73.884371919)",19,"15-0 Hazen St, East Elmhurst, NY 11370, USA","15-0","Hazen Street","East Elmhurst","Bronx","Bronx County","New York","United States","11370",NA,NA,NA
"12/12/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",50,40.882862131,-73.90357449,"(40.882862131, -73.90357449)",20,"3410-3424 Kingsbridge Ave, Bronx, NY 10463, USA","3410-3424","Kingsbridge Avenue","West Bronx","Bronx","Bronx County","New York","United States","10463",NA,NA,NA
"11/17/2015","GRAND LARCENY","FELONY","BROOKLYN",79,40.68380048,-73.952126596,"(40.68380048, -73.952126596)",21,"247-251 Putnam Ave, Brooklyn, NY 11216, USA","247-251","Putnam Avenue","Bedford-Stuyvesant","Brooklyn","Kings County","New York","United States","11216",NA,NA,NA
"09/10/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BROOKLYN",83,40.689299061,-73.911722425,"(40.689299061, -73.911722425)",22,"1113-1115 Halsey St, Brooklyn, NY 11207, USA","1113-1115","Halsey Street","Bushwick","Brooklyn","Kings County","New York","United States","11207",NA,NA,NA
"08/22/2015","ROBBERY","FELONY","BRONX",40,40.809652528,-73.910367098,"(40.809652528, -73.910367098)",23,"719 E 144th St, Bronx, NY 10455, USA","719","East 144th Street","West Bronx","Bronx","Bronx County","New York","United States","10455",NA,NA,NA
"12/28/2015","HARRASSMENT 2","VIOLATION","BROOKLYN",81,40.684616294,-73.918932657,"(40.684616294, -73.918932657)",24,"811 Macon St, Brooklyn, NY 11233, USA","811","Macon Street","Bedford-Stuyvesant","Brooklyn","Kings County","New York","United States","11233",NA,NA,NA
"08/27/2015","PETIT LARCENY","MISDEMEANOR","BROOKLYN",75,40.651698159,-73.868446756,"(40.651698159, -73.868446756)",25,"351-369 Gateway Dr, Brooklyn, NY 11239, USA","351-369","Gateway Drive","East New York","Brooklyn","Kings County","New York","United States","11239","2805",NA,NA
"09/14/2015","GRAND LARCENY","FELONY","MANHATTAN",18,40.758182541,-73.975362299,"(40.758182541, -73.975362299)",26,"452 Madison Ave, New York, NY 10022, USA","452","Madison Avenue","Midtown","Manhattan","New York County","New York","United States","10022",NA,"New York",NA
"07/22/2015","FELONY ASSAULT","FELONY","QUEENS",103,40.6972931,-73.794449011,"(40.6972931, -73.794449011)",27,"106-69-106-99 160th St, Jamaica, NY 11433, USA","106-69-106-99","160th Street","Jamaica","Queens","Queens County","New York","United States","11433",NA,NA,NA
"08/07/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",47,40.877221709,-73.849598375,"(40.877221709, -73.849598375)",28,"3424-3450 Seymour Ave, Bronx, NY 10469, USA","3424-3450","Seymour Avenue","East Bronx","Bronx","Bronx County","New York","United States","10469",NA,NA,NA
"04/28/2015","FELONY ASSAULT","FELONY","BROOKLYN",79,40.692690586,-73.939971403,"(40.692690586, -73.939971403)",29,"159-165 Marcus Garvey Blvd, Brooklyn, NY 11206, USA","159-165","Marcus Garvey Boulevard","Bedford-Stuyvesant","Brooklyn","Kings County","New York","United States","11206",NA,NA,NA
"03/12/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",47,40.891599202,-73.856698279,"(40.891599202, -73.856698279)",30,"745 E 231st St, Bronx, NY 10466, USA","745","East 231st Street","East Bronx","Bronx","Bronx County","New York","United States","10466",NA,NA,NA
"12/15/2015","DANGEROUS DRUGS","FELONY","MANHATTAN",14,40.759112632,-73.992143234,"(40.759112632, -73.992143234)",31,"602 9th Ave, New York, NY 10036, USA","602","9th Avenue","Midtown","Manhattan","New York County","New York","United States","10036",NA,"New York",NA
"11/22/2015","GRAND LARCENY","FELONY","BROOKLYN",66,40.625211092,-73.970667004,"(40.625211092, -73.970667004)",32,"954 Ocean Pkwy, Brooklyn, NY 11230, USA","954","Ocean Parkway","Midwood","Brooklyn","Kings County","New York","United States","11230",NA,NA,NA
"09/08/2015","PETIT LARCENY","MISDEMEANOR","MANHATTAN",9,40.725494433,-73.986825644,"(40.725494433, -73.986825644)",33,"64 1st Avenue, New York, NY 10009, USA","64","1st Avenue","Lower Manhattan","Manhattan","New York County","New York","United States","10009",NA,"New York",NA
"10/14/2015","ROBBERY","FELONY","BRONX",50,40.868292834,-73.899810101,"(40.868292834, -73.899810101)",34,"2691 Reservoir Ave, Bronx, NY 10468, USA","2691","Reservoir Avenue","West Bronx","Bronx","Bronx County","New York","United States","10468",NA,NA,NA
"01/11/2015","CRIMINAL TRESPASS","MISDEMEANOR","MANHATTAN",25,40.799196819,-73.933081517,"(40.799196819, -73.933081517)",35,"2366 1st Avenue, New York, NY 10035, USA","2366","1st Avenue","East Harlem","Manhattan","New York County","New York","United States","10035",NA,"New York",NA
"06/30/2015","PETIT LARCENY","MISDEMEANOR","BRONX",52,40.873671035,-73.908013649,"(40.873671035, -73.908013649)",36,"31-49 W 225th St, Bronx, NY 10463, USA","31-49","West 225th Street","West Bronx","Bronx","New York County","New York","United States","10463",NA,"New York",NA
"10/01/2015","HARRASSMENT 2","VIOLATION","QUEENS",113,40.683475887,-73.803884107,"(40.683475887, -73.803884107)",37,"139-9-139-11 Linden Blvd, Jamaica, NY 11436, USA","139-9-139-11","Linden Boulevard","Jamaica","Queens","Queens County","New York","United States","11436",NA,NA,NA
"05/02/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","QUEENS",104,40.716954924,-73.911187979,"(40.716954924, -73.911187979)",38,"75 Flushing Ave, Maspeth, NY 11378, USA","75","Flushing Avenue","Maspeth","Queens","Queens County","New York","United States","11378",NA,NA,NA
"05/08/2015","HARRASSMENT 2","VIOLATION","BRONX",45,40.840489294,-73.847480448,"(40.840489294, -73.847480448)",39,"1561 St Peters Ave, Bronx, NY 10461, USA","1561","Saint Peters Avenue","East Bronx","Bronx","Bronx County","New York","United States","10461","3126",NA,NA
"04/06/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BROOKLYN",63,40.624502775,-73.91509349,"(40.624502775, -73.91509349)",40,"1245 E 69th St, Brooklyn, NY 11234, USA","1245","East 69th Street","Bergen Beach","Brooklyn","Kings County","New York","United States","11234","5767",NA,NA
"03/04/2015","PETIT LARCENY","MISDEMEANOR","QUEENS",105,40.716703482,-73.742287916,"(40.716703482, -73.742287916)",41,"214-44 Jamaica Ave, Queens Village, NY 11428, USA","214-44","Jamaica Avenue","Queens Village","Queens","Queens County","New York","United States","11428","1727",NA,NA
"06/10/2015","GRAND LARCENY","FELONY","BROOKLYN",94,40.717318431,-73.9561428,"(40.717318431, -73.9561428)",42,"538-542 Driggs Ave, Brooklyn, NY 11211, USA","538-542","Driggs Avenue","Williamsburg","Brooklyn","Kings County","New York","United States","11211",NA,NA,NA
"07/09/2015","HARRASSMENT 2","VIOLATION","BROOKLYN",90,40.710664354,-73.954159703,"(40.710664354, -73.954159703)",43,"143-153 Borinquen Pl, Brooklyn, NY 11211, USA","143-153","Borinquen Place","Williamsburg","Brooklyn","Kings County","New York","United States","11211","4653",NA,NA
"05/24/2015","DANGEROUS WEAPONS","MISDEMEANOR","BRONX",44,40.834134653,-73.916661748,"(40.834134653, -73.916661748)",44,"1201 Sheridan Ave, Bronx, NY 10456, USA","1201","Sheridan Avenue","West Bronx","Bronx","Bronx County","New York","United States","10456",NA,NA,NA
"03/08/2015","PETIT LARCENY","MISDEMEANOR","BRONX",46,40.852485992,-73.906213897,"(40.852485992, -73.906213897)",45,"2024 Morris Ave, Bronx, NY 10453, USA","2024","Morris Avenue","West Bronx","Bronx","Bronx County","New York","United States","10453","4243",NA,NA
"03/01/2015","GRAND LARCENY","FELONY","BROOKLYN",75,40.678904036,-73.865725156,"(40.678904036, -73.865725156)",46,"1177-1181 Liberty Ave, Brooklyn, NY 11208, USA","1177-1181","Liberty Avenue","Cypress Hills","Brooklyn","Kings County","New York","United States","11208",NA,NA,NA
"04/21/2015","HARRASSMENT 2","VIOLATION","QUEENS",105,40.719222944,-73.733739201,"(40.719222944, -73.733739201)",47,"220-16-220-24 Jamaica Ave, Queens Village, NY 11428, USA","220-16-220-24","Jamaica Avenue","Queens Village","Queens","Queens County","New York","United States","11428",NA,NA,NA
"06/26/2015","PETIT LARCENY","MISDEMEANOR","QUEENS",114,40.778651375,-73.907635797,"(40.778651375, -73.907635797)",48,"20-48-20-52 31st St, Astoria, NY 11105, USA","20-48-20-52","31st Street","Astoria","Queens","Queens County","New York","United States","11105",NA,NA,NA
"04/18/2015","HARRASSMENT 2","VIOLATION","BROOKLYN",79,40.68474397,-73.950445696,"(40.68474397, -73.950445696)",49,"381 Nostrand Ave, Brooklyn, NY 11216, USA","381","Nostrand Avenue","Bedford-Stuyvesant","Brooklyn","Kings County","New York","United States","11216","1409",NA,NA
"11/09/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","MANHATTAN",34,40.851403574,-73.932215696,"(40.851403574, -73.932215696)",50,"1483 St Nicholas Ave, New York, NY 10033, USA","1483","Saint Nicholas Avenue","Fort George","Manhattan","New York County","New York","United States","10033",NA,"New York",NA
"01/20/2015","HARRASSMENT 2","VIOLATION","BROOKLYN",75,40.656987477,-73.889419576,"(40.656987477, -73.889419576)",51,"515 Stanley Ave, Brooklyn, NY 11207, USA","515","Stanley Avenue","East New York","Brooklyn","Kings County","New York","United States","11207","7719",NA,NA
"06/18/2015","PETIT LARCENY","MISDEMEANOR","BRONX",45,40.868467378,-73.821582846,"(40.868467378, -73.821582846)",52,"2270 Bartow Ave, Bronx, NY 10475, USA","2270","Bartow Avenue","East Bronx","Bronx","Bronx County","New York","United States","10475","4618",NA,NA
"10/15/2015","OFF. AGNST PUB ORD SENSBLTY &","MISDEMEANOR","MANHATTAN",32,40.820614011,-73.943552104,"(40.820614011, -73.943552104)",53,"2649 Frederick Douglass Blvd, New York, NY 10030, USA","2649","Frederick Douglass Boulevard","Upper Manhattan","Manhattan","New York County","New York","United States","10030",NA,"New York",NA
"02/22/2015","FELONY ASSAULT","FELONY","BROOKLYN",71,40.65534862,-73.960699397,"(40.65534862, -73.960699397)",54,"214 Parkside Ave, Brooklyn, NY 11226, USA","214","Parkside Avenue",NA,"Brooklyn","Kings County","New York","United States","11226",NA,NA,NA
"08/10/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","MANHATTAN",32,40.814729212,-73.949200086,"(40.814729212, -73.949200086)",55,"427-463 St Nicholas Ave, New York, NY 10027, USA","427-463","Saint Nicholas Avenue","Upper Manhattan","Manhattan","New York County","New York","United States","10027",NA,"New York",NA
"03/30/2015","HARRASSMENT 2","VIOLATION","MANHATTAN",30,40.83133757,-73.949360859,"(40.83133757, -73.949360859)",56,"740-746 Riverside Dr, New York, NY 10031, USA","740-746","Riverside Drive","Upper Manhattan","Manhattan","New York County","New York","United States","10031",NA,"New York",NA
"02/26/2015","PETIT LARCENY","MISDEMEANOR","BROOKLYN",90,40.705959172,-73.95253989,"(40.705959172, -73.95253989)",57,"287 Penn St, Brooklyn, NY 11211, USA","287","Penn Street","Williamsburg","Brooklyn","Kings County","New York","United States","11211",NA,NA,NA
"11/05/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","QUEENS",107,40.728254117,-73.818985263,"(40.728254117, -73.818985263)",58,"147-34-147-38 71st Rd, Flushing, NY 11367, USA","147-34-147-38","71st Road","Flushing","Queens","Queens County","New York","United States","11367","2011",NA,NA
"11/19/2015","HARRASSMENT 2","VIOLATION","MANHATTAN",25,40.800930373,-73.941098241,"(40.800930373, -73.941098241)",59,"110-120 E 119th St, New York, NY 10035, USA","110-120","East 119th Street","Upper Manhattan","Manhattan","New York County","New York","United States","10035",NA,"New York",NA
"05/26/2015","UNAUTHORIZED USE OF A VEHICLE","MISDEMEANOR","BROOKLYN",75,40.677876789,-73.90331566,"(40.677876789, -73.90331566)",60,"2393-2399 Fulton St, Brooklyn, NY 11233, USA","2393-2399","Fulton Street","Cypress Hills","Brooklyn","Kings County","New York","United States","11233","3447",NA,NA
"08/30/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",46,40.859357256,-73.901161148,"(40.859357256, -73.901161148)",61,"2347-2355 Morris Ave, Bronx, NY 10468, USA","2347-2355","Morris Avenue","West Bronx","Bronx","Bronx County","New York","United States","10468","7201",NA,NA
"02/10/2015","MISCELLANEOUS PENAL LAW","FELONY","BROOKLYN",77,40.670515149,-73.929566108,"(40.670515149, -73.929566108)",62,"1457 St Johns Pl, Brooklyn, NY 11213, USA","1457","Saint Johns Place","Crown Heights","Brooklyn","Kings County","New York","United States","11213",NA,NA,NA
"05/29/2015","GRAND LARCENY","FELONY","BRONX",46,40.854810951,-73.906452813,"(40.854810951, -73.906452813)",63,"2080-2100 Jerome Ave, Bronx, NY 10453, USA","2080-2100","Jerome Avenue","West Bronx","Bronx","Bronx County","New York","United States","10453",NA,NA,NA
"06/03/2015","HARRASSMENT 2","VIOLATION","BRONX",44,40.82705345,-73.916883805,"(40.82705345, -73.916883805)",64,"283 E 163rd St, Bronx, NY 10451, USA","283","East 163rd Street","Fleetwood - Concourse Village","Bronx","Bronx County","New York","United States","10451","3201",NA,NA
"10/21/2015","PETIT LARCENY","MISDEMEANOR","QUEENS",110,40.733926841,-73.871582398,"(40.733926841, -73.871582398)",65,"9020 Queens Blvd, Queens, NY 11373, USA","9020","Queens Boulevard","Elmhurst","Queens","Queens County","New York","United States","11373",NA,NA,NA
"06/20/2015","FORGERY","FELONY","BROOKLYN",67,40.646926041,-73.916574859,"(40.646926041, -73.916574859)",66,"8723 Ditmas Ave, Brooklyn, NY 11236, USA","8723","Ditmas Avenue","East Flatbush","Brooklyn","Kings County","New York","United States","11236","1605",NA,NA
"10/23/2015","GRAND LARCENY","FELONY","BROOKLYN",88,40.69726035,-73.977462042,"(40.69726035, -73.977462042)",67,"28-76 N Elliott Pl, Brooklyn, NY 11205, USA","28-76","North Elliott Place","Fort Greene","Brooklyn","Kings County","New York","United States","11205",NA,NA,NA
"10/20/2015","DANGEROUS WEAPONS","MISDEMEANOR","QUEENS",113,40.679980738,-73.776233907,"(40.679980738, -73.776233907)",68,"167-0-167-2 Baisley Blvd, Jamaica, NY 11434, USA","167-0-167-2","Baisley Boulevard","Jamaica","Queens","Queens County","New York","United States","11434",NA,NA,NA
"10/14/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",43,40.816844318,-73.848069331,"(40.816844318, -73.848069331)",69,"2175-2199 Lacombe Ave, Bronx, NY 10473, USA","2175-2199","Lacombe Avenue","East Bronx","Bronx","Bronx County","New York","United States","10473",NA,NA,NA
"06/17/2015","HARRASSMENT 2","VIOLATION","BRONX",46,40.854071255,-73.904776582,"(40.854071255, -73.904776582)",70,"2076-2078 Morris Ave, Bronx, NY 10453, USA","2076-2078","Morris Avenue","West Bronx","Bronx","Bronx County","New York","United States","10453","3538",NA,NA
"09/30/2015","GRAND LARCENY","FELONY","STATEN ISLAND",121,40.626142073,-74.157252583,"(40.626142073, -74.157252583)",71,"2039 Forest Ave, Staten Island, NY 10303, USA","2039","Forest Avenue","Mariners Harbor","Staten Island","Richmond County","New York","United States","10303",NA,NA,NA
"08/20/2015","OFF. AGNST PUB ORD SENSBLTY &","MISDEMEANOR","STATEN ISLAND",120,40.615491223,-74.08165623,"(40.615491223, -74.08165623)",72,"162-180 Park Hill Ave, Staten Island, NY 10304, USA","162-180","Park Hill Avenue","Park Hill","Staten Island","Richmond County","New York","United States","10304",NA,NA,NA
"09/16/2015","PETIT LARCENY","MISDEMEANOR","BROOKLYN",66,40.616624026,-73.97674006,"(40.616624026, -73.97674006)",73,"2221-2255 59th St, Brooklyn, NY 11204, USA","2221-2255","59th Street","Mapleton","Brooklyn","Kings County","New York","United States","11204","2505",NA,NA
"04/07/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BROOKLYN",61,40.605247178,-73.966879968,"(40.605247178, -73.966879968)",74,"1800 Ocean Pkwy, Brooklyn, NY 11223, USA","1800","Ocean Parkway","Gravesend","Brooklyn","Kings County","New York","United States","11223",NA,NA,NA
