"ZIP
code [1]",Size of adjusted gross income,,,,,
10001,,,,,,
10001,"$1 under $25,000",,,,,
10001,"$25,000 under $50,000",,,,,
10001,"$50,000 under $75,000",,,,,
10001,"$75,000 under $100,000",,,,,
10001,"$100,000 under $200,000",,,,,
10001,"$200,000 or more",,,,,
,,,,,,
10002,,,,,,
10002,"$1 under $25,000",,,,,
10002,"$25,000 under $50,000",,,,,
10002,"$50,000 under $75,000",,,,,
10002,"$75,000 under $100,000",,,,,
10002,"$100,000 under $200,000",,,,,
10002,"$200,000 or more",,,,,
,,,,,,
10003,,,,,,
10003,"$1 under $25,000",,,,,
10003,"$25,000 under $50,000",,,,,
10003,"$50,000 under $75,000",,,,,
10003,"$75,000 under $100,000",,,,,
10003,"$100,000 under $200,000",,,,,
10003,"$200,000 or more",,,,,
,,,,,,
10004,,,,,,
10004,"$1 under $25,000",,,,,
10004,"$25,000 under $50,000",,,,,
10004,"$50,000 under $75,000",,,,,
10004,"$75,000 under $100,000",,,,,
10004,"$100,000 under $200,000",,,,,
10004,"$200,000 or more",,,,,
,,,,,,
10005,,,,,,
10005,"$1 under $25,000",,,,,
10005,"$25,000 under $50,000",,,,,
10005,"$50,000 under $75,000",,,,,
10005,"$75,000 under $100,000",,,,,
10005,"$100,000 under $200,000",,,,,
10005,"$200,000 or more",,,,,
,,,,,,
10006,,,,,,
10006,"$1 under $25,000",,,,,
10006,"$25,000 under $50,000",,,,,
10006,"$50,000 under $75,000",,,,,
10006,"$75,000 under $100,000",,,,,
10006,"$100,000 under $200,000",,,,,
10006,"$200,000 or more",,,,,
,,,,,,
10007,,,,,,
10007,"$1 under $25,000",,,,,
10007,"$25,000 under $50,000",,,,,
10007,"$50,000 under $75,000",,,,,
10007,"$75,000 under $100,000",,,,,
10007,"$100,000 under $200,000",,,,,
10007,"$200,000 or more",,,,,
,,,,,,
10009,,,,,,
10009,"$1 under $25,000",,,,,
10009,"$25,000 under $50,000",,,,,
10009,"$50,000 under $75,000",,,,,
10009,"$75,000 under $100,000",,,,,
10009,"$100,000 under $200,000",,,,,
10009,"$200,000 or more",,,,,
,,,,,,
10010,,,,,,
10010,"$1 under $25,000",,,,,
10010,"$25,000 under $50,000",,,,,
10010,"$50,000 under $75,000",,,,,
10010,"$75,000 under $100,000",,,,,
10010,"$100,000 under $200,000",,,,,
10010,"$200,000 or more",,,,,
,,,,,,
10011,,,,,,
10011,"$1 under $25,000",,,,,
10011,"$25,000 under $50,000",,,,,
10011,"$50,000 under $75,000",,,,,
10011,"$75,000 under $100,000",,,,,
10011,"$100,000 under $200,000",,,,,
10011,"$200,000 or more",,,,,
,,,,,,
10012,,,,,,
10012,"$1 under $25,000",,,,,
10012,"$25,000 under $50,000",,,,,
10012,"$50,000 under $75,000",,,,,
10012,"$75,000 under $100,000",,,,,
10012,"$100,000 under $200,000",,,,,
10012,"$200,000 or more",,,,,
,,,,,,
10013,,,,,,
10013,"$1 under $25,000",,,,,
10013,"$25,000 under $50,000",,,,,
10013,"$50,000 under $75,000",,,,,
10013,"$75,000 under $100,000",,,,,
10013,"$100,000 under $200,000",,,,,
10013,"$200,000 or more",,,,,
,,,,,,
10014,,,,,,
10014,"$1 under $25,000",,,,,
10014,"$25,000 under $50,000",,,,,
10014,"$50,000 under $75,000",,,,,
10014,"$75,000 under $100,000",,,,,
10014,"$100,000 under $200,000",,,,,
10014,"$200,000 or more",,,,,
,,,,,,
10016,,,,,,
10016,"$1 under $25,000",,,,,
10016,"$25,000 under $50,000",,,,,
10016,"$50,000 under $75,000",,,,,
10016,"$75,000 under $100,000",,,,,
10016,"$100,000 under $200,000",,,,,
10016,"$200,000 or more",,,,,
,,,,,,
10017,,,,,,
10017,"$1 under $25,000",,,,,
