"","CD","CT2010","CB2010","SchoolDist","ZipCode","Address","BldgClass","UnitsRes","YearBuilt","NumFloors"
"3",302,21,2000,13,11201,"1 JOHN STREET","RM",42,0,12
"22",302,21,2002,13,11201,"135 PLYMOUTH STREET","D5",100,1900,7
"29",302,21,3008,13,11201,"183 PLYMOUTH STREET","RM",10,1920,6
"45",302,21,1010,13,11201,"26 WASHINGTON STREET","D7",94,1930,7
"46",302,21,1010,13,11201,"1 MAIN STREET","RM",124,1913,15
"47",302,21,2009,13,11201,"25 WASHINGTON STREET","D7",106,1902,8
"48",302,21,2009,13,11201,"31 WASHINGTON STREET","RM",13,1930,6
"49",302,21,2009,13,11201,"133 WATER STREET","RM",52,2006,12
"68",302,21,3009,13,11201,"39 JAY STREET","D7",74,1905,7
"71",302,21,3009,13,11201,"218 PLYMOUTH STREET","RM",6,1900,5
"73",302,21,3009,13,11201,"205 WATER STREET","R4",65,2010,9
"83",302,21,3010,13,11201,"37 BRIDGE STREET","RM",45,1916,7
"84",302,21,3010,13,11201,"47 BRIDGE STREET","R4",25,2013,7
"122",302,21,1005,13,11201,"4 WATER STREET","RM",13,2007,6
"124",302,21,1003,13,11201,"16 WATER STREET","D7",23,1910,5
"127",302,21,1003,13,11201,"30 MAIN STREET","RM",85,1910,11
"128",302,21,1003,13,11201,"42 MAIN STREET","RM",21,2002,10
"129",302,21,1003,13,11201,"57 FRONT STREET","RM",31,1899,7
"130",302,21,1003,13,11201,"60 WATER STREET","RM",290,2013,17
"139",302,21,3016,13,11201,"200 WATER STREET","D5",15,1951,6
"140",302,21,3016,13,11201,"220 WATER STREET","D7",135,1900,7
"141",302,21,3016,13,11201,"177 FRONT STREET","D6",105,0,0
"142",302,21,3016,13,11201,"192 WATER STREET","RM",9,1900,5
"146",302,21,3015,13,11201,"254 WATER STREET","D8",26,2002,5
"195",302,21,3013,13,11201,"85 HUDSON AVENUE","RM",9,2002,5
"200",302,21,1008,13,11201,"70 WASHINGTON STREET","RM",259,1916,13
"201",302,21,2018,13,11201,"65 WASHINGTON STREET","D5",103,1914,5
"202",302,21,2018,13,11201,"65 WASHINGTON STREET","D7",54,2000,13
"206",302,21,2018,13,11201,"84 FRONT STREET","RM",56,2006,12
"210",302,21,2017,13,11201,"85 ADAMS STREET","RM",79,2006,23
"214",302,21,2014,13,11201,"100 JAY STREET","RM",266,2006,31
"229",302,21,3018,13,11201,"181 YORK STREET","D1",10,2009,6
"230",302,21,3018,13,11201,"79 BRIDGE STREET","RM",37,1920,6
"231",302,21,3018,13,11201,"206 FRONT STREET","R4",31,2006,7
"232",302,21,3018,13,11201,"100 GOLD STREET","R1",10,2009,5
"233",302,21,3018,13,11201,"185 YORK STREET","RM",16,2009,6
"234",302,21,3018,13,11201,"102 GOLD STREET","R1",10,2012,6
"237",302,21,3019,13,11201,"99 GOLD STREET","D5",88,1919,7
"252",302,23,1000,13,11201,"111 YORK STREET","D3",417,1950,14
"254",302,23,1000,13,11201,"165 SANDS STREET","D4",120,1902,6.5
"255",302,23,2000,13,11201,"202 SANDS STREET","D3",556,1950,14
"263",302,13,1006,13,11201,"175 ADAMS STREET","D4",1022,1950,15
"271",302,23,3000,13,11201,"237 NASSAU STREET","D3",417,1950,14
"274",302,13,1007,13,11201,"203 JAY STREET","D8",270,0,0
"283",302,15,1001,13,11201,"180 NASSAU STREET","D3",103,2013,10
"291",302,15,1001,13,11201,"197 BRIDGE STREET","RM",59,2006,18
"319",302,15,1002,13,11201,"44 DUFFIELD STREET","R1",8,2009,4
"320",302,15,1002,13,11201,"42 DUFFIELD STREET","R1",8,2009,4
"349",302,15,1005,13,11201,"277 GOLD STREET","D7",266,2009,13
"351",302,15,1005,13,11201,"235 GOLD STREET","D7",377,2009,12
"364",302,15,1007,13,11201,"170 TILLARY STREET","D7",46,1926,7
"365",302,15,1007,13,11201,"306 GOLD STREET","RM",302,2005,40
"366",302,15,1006,13,11201,"309 GOLD STREET","D6",256,2013,36
"386",302,15,3006,13,11201,"100 WILLOUGHBY STREET","D7",826,2014,57
"393",302,15,3006,13,11201,"503 FULTON STREET","RM",121,1930,7
"395",302,15,3007,13,11201,"237 DUFFIELD STREET","D6",105,0,0
"414",302,15,3007,13,11201,"430 ALBEE SQUARE","D6",60,0,0
"415",302,15,3007,13,11201,"434 ALBEE SQUARE","D6",33,0,0
"416",302,15,3007,13,11201,"436 ALBEE SQUARE","D6",33,0,0
"417",302,15,3007,13,11201,"438 ALBEE SQUARE","D6",24,0,0
"420",302,11,1008,13,11201,"365 JAY STREET","D5",18,1920,6
"424",302,11,1012,13,11201,"107 LAWRENCE STREET","D7",491,2009,51
"447",302,15,3008,13,11201,"1 DEKALB AVENUE","RM",690,2011,50
"486",302,11,1013,13,11201,"68 WILLOUGHBY STREET","D6",30,1920,4
"490",302,11,1013,13,11201,"384 BRIDGE STREET","RM",371,2012,53
"507",302,37,1006,15,11201,"117 LIVINGSTON STREET","D8",108,0,0
"533",302,37,1002,15,11201,"486 FULTON STREET","RM",70,1920,5
"575",302,37,1012,15,11201,"189 SCHERMERHORN STREET","RM",246,2007,25
"586",302,37,1011,15,11201,"236 LIVINGSTON STREET","RM",303,2009,26
"587",302,37,1010,15,11217,"49 BOND STREET","D6",714,0,0
"603",302,37,1009,15,11217,"35 NEVINS STREET","D7",74,0,0
"608",302,37,1009,15,11217,"350 LIVINGSTON STREET","D7",750,0,0
"614",302,43,2001,15,11201,"53 BOERUM PLACE","R4",99,2003,11
"615",302,43,2000,15,11201,"71 SMITH STREET","D7",140,2014,19
"616",302,43,2000,15,11201,"160 SCHERMERHORN STREET","D7",190,2007,11
"646",302,41,1001,15,11201,"65 HOYT STREET","D6",158,2005,8
"652",302,41,1001,15,11217,"337 STATE STREET","D1",60,1930,6
"760",302,43,2002,15,11201,"333 ATLANTIC AVENUE","D6",22,2014,7
"770",302,43,2002,15,11201,"309 ATLANTIC AVENUE","D7",26,2008,8
"772",302,43,2002,15,11201,"85 SMITH STREET","RM",50,2007,13
"773",302,43,2002,15,11201,"326 STATE STREET","R1",7,1933,4
"837",302,41,1003,15,11217,"404 STATE STREET","D1",60,1928,6
"843",302,41,1003,15,11217,"422 STATE STREET","D4",20,1912,5
"859",302,41,1003,15,11217,"423 ATLANTIC AVENUE","D4",60,1900,6
"901",302,39,1003,15,11217,"503 ATLANTIC AVENUE","RM",9,1900,5
"902",302,39,1003,15,11217,"464 STATE STREET","R3",3,2004,3
"904",302,39,1003,15,11217,"489 ATLANTIC AVENUE","RM",8,2005,6
"905",302,39,1003,15,11217,"457 ATLANTIC AVENUE","RM",21,2004,8
"945",302,39,1004,15,11217,"560 STATE STREET","RM",39,1990,4
"946",302,39,1004,15,11217,"556 STATE STREET","RM",71,2006,8
"958",302,43,4000,15,11201,"267 PACIFIC STREET","D6",60,2013,7
"961",302,43,4000,15,11201,"253 PACIFIC STREET","R6",3,2011,4.5
"1061",302,41,2000,15,11217,"402 ATLANTIC AVENUE","RM",6,1880,4
"1062",302,41,2000,15,11217,"349 PACIFIC STREET","R1",4,1940,4
"1114",302,41,3000,15,11217,"422 ATLANTIC AVENUE","RM",1,1950,3
"1115",302,41,3000,15,11217,"403 PACIFIC STREET","R6",3,1920,4
"1116",302,41,3000,15,11217,"438 ATLANTIC AVENUE","RM",8,2013,6
"1150",302,39,2000,15,11217,"497 PACIFIC STREET","R2",11,1922,4
"1151",302,39,2000,15,11217,"52 3 AVENUE","R2",15,2005,5
"1179",302,39,3000,15,11217,"578 ATLANTIC AVENUE","RM",7,1931,4
"1214",302,43,4005,15,11201,"47 DEAN STREET","R1",10,2007,5
